På	O	O
fredag	O	O
har	O	O
SID	B-ORG	O
inviteret	O	O
til	O	O
reception	O	O
i	O	O
SID-huset	B-ORGpart	O
i	O	O
anledning	O	O
af	O	O
at	O	O
formanden	O	O
Kjeld	B-PER	O
Christensen	I-PER	O
går	O	O
ind	O	O
i	O	O
de	O	O
glade	O	O
tressere	O	O
.	O	O

Eller	O	O
slet	O	O
og	O	O
ret	O	O
tykke	O	O
og	O	O
fede	O	O
i	O	O
mere	O	O
eller	O	O
mindre	O	O
grad	O	O
,	O	O
som	O	O
en	O	O
enkelt	O	O
udtrykker	O	O
det	O	O
.	O	O

Under	O	O
rejser	O	O
og	O	O
ophold	O	O
i	O	O
udlandet	O	O
følger	O	O
sygeplejersker	O	O
og	O	O
hjælpere	O	O
med	O	O
.	O	O

Hele	O	O
det	O	O
smukt	O	O
restaurerede	O	O
hus	O	O
vrimler	O	O
med	O	O
børn	O	O
-	O	O
Elise	B-PER	O
Gug	I-PER	O
har	O	O
selv	O	O
tre	O	O
-	O	O
og	O	O
andelsforeningen	O	O
er	O	O
så	O	O
glad	O	O
for	O	O
selskabeligt	O	O
samvær	O	O
,	O	O
at	O	O
den	O	O
har	O	O
egen	O	O
café	O	O
og	O	O
festlokale	O	O
.	O	O

Hun	O	O
er	O	O
selv	O	O
på	O	O
femte	O	O
år	O	O
lykkeligt	O	O
gift	O	O
med	O	O
sin	O	O
socialdemokratiske	B-ORGderiv	O
partifælle	O	O
,	O	O
Mogens	B-PER	O
Lykketoft	I-PER	O
.	O	O

I	O	O
1983	O	O
ville	O	O
en	O	O
mand	O	O
have	O	O
navneforandring	O	O
til	O	O
Werwolf	B-PER	O
,	O	O
men	O	O
det	O	O
fik	O	O
han	O	O
ikke	O	O
lov	O	O
til	O	O
,	O	O
for	O	O
det	O	O
betragtes	O	O
som	O	O
upassende	O	O
og	O	O
anstødeligt	O	O
.	O	O

Bare	O	O
ikke	O	O
i	O	O
år	O	O
,	O	O
advarer	O	O
lægerne	O	O

Kopieret	O	O

Når	O	O
forløbet	O	O
i	O	O
kommunalt	O	O
regi	O	O
slutter	O	O
til	O	O
december	O	O
,	O	O
håber	O	O
hun	O	O
,	O	O
at	O	O
hendes	O	O
og	O	O
mandens	O	O
firma	O	O
er	O	O
vokset	O	O
stort	O	O
nok	O	O
til	O	O
,	O	O
at	O	O
hun	O	O
kan	O	O
blive	O	O
ansat	O	O
på	O	O
fuld	O	O
tid	O	O
.	O	O

Den	O	O
enestående	O	O
bil	O	O
vandt	O	O
i	O	O
denne	O	O
specielle	O	O
disciplin	O	O
i	O	O
konkurrence	O	O
med	O	O
73	O	O
andre	O	O
specialbyggede	O	O
biler	O	O
på	O	O
Silverstone-banen	B-LOCpart	O
i	O	O
Storbritannien	B-LOC	O
.	O	O

Steen	B-PER	O
Gade	I-PER	O
siger	O	O
,	O	O
at	O	O
SF	B-ORG	O
ikke	O	O
kan	O	O
gå	O	O
med	O	O
til	O	O
fælles	O	O
forsvar	O	O
,	O	O
den	O	O
økonomisk-monetære	O	O
union	O	O
,	O	O
unionsborgerskab	O	O
og	O	O
dele	O	O
af	O	O
det	O	O
retslige	O	O
samarbejde	O	O
.	O	O

En	O	O
anden	O	O
satte	O	O
ild	O	O
til	O	O
sig	O	O
selv	O	O
.	O	O

Det	O	O
er	O	O
Peter	B-PER	O
Elmegaard	I-PER	O
,	O	O
der	O	O
sørger	O	O
for	O	O
at	O	O
købe	O	O
skoene	O	O
hjem	O	O
og	O	O
står	O	O
i	O	O
butikken	O	O
til	O	O
hverdag	O	O
.	O	O

Foruden	O	O
at	O	O
være	O	O
et	O	O
tilløbsstykke	O	O
for	O	O
"	O	O
klorofyl-turister	O	O
"	O	O
er	O	O
Robinson	B-MISC	O
Crusoe	I-MISC	O
et	O	O
paradis	O	O
for	O	O
dem	O	O
,	O	O
der	O	O
kan	O	O
lide	O	O
hummer	O	O
.	O	O

Uden	O	O
ble	O	O
løber	O	O
barnets	O	O
diarré	O	O
ned	O	O
over	O	O
pigens	O	O
lår	O	O
.	O	O

-	O	O
De	O	O
er	O	O
s'gu	O	O
ret	O	O
flot	O	O
,	O	O
sagde	O	O
jeg	O	O
.	O	O

De	O	O
må	O	O
lære	O	O
at	O	O
acceptere	O	O
forskelligheder	O	O
uden	O	O
at	O	O
udgrænse	O	O
den	O	O
.	O	O

For	O	O
otte	O	O
millioner	O	O
pund	O	O
er	O	O
byttet	O	O
"	O	O
Living	B-MISC	O
Legend	I-MISC	O
"	O	O
,	O	O
hvor	O	O
man	O	O
bliver	O	O
ført	O	O
gennem	O	O
hele	O	O
historien	O	O
med	O	O
billeder	O	O
,	O	O
lyd	O	O
,	O	O
tåge	O	O
,	O	O
lyn	O	O
,	O	O
torden	O	O
,	O	O
storm	O	O
og	O	O
andre	O	O
effekter	O	O
.	O	O

"	O	O
Jeg	O	O
vidste	O	O
,	O	O
at	O	O
de	O	O
kunne	O	O
blive	O	O
til	O	O
et	O	O
eller	O	O
andet	O	O
stort	O	O
,	O	O
så	O	O
jeg	O	O
gik	O	O
hen	O	O
og	O	O
spurgte	O	O
,	O	O
om	O	O
de	O	O
kunne	O	O
rappe	O	O
.	O	O
"	O	O

Alene	O	O
i	O	O
Hamburg	B-LOC	O
skulle	O	O
de	O	O
have	O	O
has	O	O
på	O	O
750	O	O
ton	O	O
ophobet	O	O
skrald	O	O
.	O	O

-	O	O
Få	O	O
den	O	O
UD	O	O
AF	O	O
MIN	O	O
KANO	O	O
!	O	O
siger	O	O
han	O	O
.	O	O

Navnlig	O	O
,	O	O
hvis	O	O
forhandleren	O	O
giver	O	O
et	O	O
godt	O	O
bud	O	O
på	O	O
den	O	O
brugte	O	O
bil	O	O
-	O	O
og	O	O
lokker	O	O
med	O	O
en	O	O
fiks	O	O
finansierings-model	O	O
.	O	O

Det	O	O
drejer	O	O
sig	O	O
om	O	O
240	O	O
hektar	O	O
og	O	O
det	O	O
område	O	O
skal	O	O
have	O	O
karakter	O	O
af	O	O
en	O	O
stor	O	O
bypark	O	O
.	O	O

At	O	O
rende	O	O
med	O	O
aviser	O	O
som	O	O
bibeskæftigelse	O	O
kunne	O	O
være	O	O
lykken	O	O
,	O	O
hvis	O	O
man	O	O
også	O	O
fik	O	O
en	O	O
rimelig	O	O
løn	O	O
ud	O	O
af	O	O
det	O	O

Samlingen	O	O
af	O	O
hans	O	O
artikler	O	O
og	O	O
foredrag	O	O
fra	O	O
de	O	O
sidste	O	O
ti	O	O
år	O	O
røber	O	O
,	O	O
at	O	O
verden	O	O
savner	O	O
den	O	O
ægte	O	O
vare	O	O
,	O	O
romanen	O	O
.	O	O

